id:ID,:START_ID,:END_ID,:TYPE,accordingTo,assertedAt,confidence,importanceLevel,mappedFrom,selfAsserted,standpointModality,validFrom,validUntil
edge:12797cf421521bff,gmeow:examples/standpointclaim-fabrication-projected-001,gmeow:unequivocal,claimModality,gmeow:examples/standpoint-forger,2026-06-08T00:00:00Z,0.88,,,,,,
edge:177426dbe07395f1,gmeow:examples/standpointclaim-distortion-projected-001,gmeow:unequivocal,claimModality,gmeow:examples/standpoint-spin-doctor,2026-06-04T00:00:00Z,0.85,,,,,,
edge:3636a103f6cd2820,gmeow:examples/standpointclaim-lie-held-001,gmeow:refuted,claimModality,gmeow:examples/standpoint-investigator,2026-06-01T00:00:00Z,0.8,,,,,,
edge:3993748b20f6d01d,gmeow:examples/standpointclaim-self-deception-held-001,gmeow:refuted,claimModality,gmeow:examples/standpoint-tacit-self,2026-06-06T00:00:00Z,0.6,,,,,,
edge:42c56eb322970e40,gmeow:examples/standpointclaim-omission-held-001,gmeow:unequivocal,claimModality,gmeow:examples/standpoint-deceiver,2026-06-03T00:00:00Z,0.85,,,,,,
edge:46cda74aa7c2334c,gmeow:examples/standpointclaim-impersonation-projected-001,gmeow:unequivocal,claimModality,gmeow:examples/standpoint-deceiver,2026-06-10T00:00:00Z,0.85,,,,,,
edge:4a3883d2b604f6b4,gmeow:examples/standpointclaim-bullshit-projected-001,gmeow:unequivocal,claimModality,gmeow:examples/standpoint-bullshitter,2026-06-05T00:00:00Z,0.8,,,,,,
edge:51269ca77d17e91e,gmeow:examples/standpointclaim-disinformation-origin-projected-001,gmeow:unequivocal,claimModality,gmeow:examples/standpoint-deceiver,2026-06-11T00:00:00Z,0.9,,,,,,
edge:55f9819ec2413627,gmeow:examples/standpointclaim-forgery-held-001,gmeow:refuted,claimModality,gmeow:examples/standpoint-investigator,2026-06-09T00:00:00Z,0.8,,,,,,
edge:62d78f0c9cc3309d,gmeow:examples/standpointclaim-downstream-belief-001,gmeow:unequivocal,claimModality,gmeow:examples/standpoint-downstream,2026-06-11T00:00:00Z,0.6,,,,,,
edge:6709a08d1e60bfd4,gmeow:examples/standpointclaim-bullshit-held-001,gmeow:bullshit,claimModality,gmeow:examples/standpoint-analyst,2026-06-05T00:00:00Z,0.65,,,,,,
edge:6bed936c9960b43e,gmeow:examples/standpointclaim-bullshit-001,gmeow:bullshit,claimModality,gmeow:examples/standpoint-analyst,2026-04-01T00:00:00Z,0.7,,,,,,
edge:8f9bd753f88bc96a,gmeow:examples/standpointclaim-self-deception-projected-001,gmeow:unequivocal,claimModality,gmeow:examples/standpoint-avowed-self,2026-06-06T00:00:00Z,0.75,,,,,,
edge:9e317d4c1c5dff76,gmeow:examples/standpointclaim-paltering-held-001,gmeow:refuted,claimModality,gmeow:examples/standpoint-investigator,2026-06-02T00:00:00Z,0.78,,,,,,
edge:b02ea1a85c6aa342,gmeow:examples/standpointclaim-disinformation-origin-held-001,gmeow:refuted,claimModality,gmeow:examples/standpoint-investigator,2026-06-11T00:00:00Z,0.85,,,,,,
edge:c6974f15c58261f1,gmeow:examples/standpointclaim-distortion-held-001,gmeow:probable,claimModality,gmeow:examples/standpoint-deceiver,2026-06-04T00:00:00Z,0.7,,,,,,
edge:d9d39bd91f31678e,gmeow:examples/standpointclaim-impersonation-held-001,gmeow:refuted,claimModality,gmeow:examples/standpoint-investigator,2026-06-10T00:00:00Z,0.78,,,,,,
edge:de75e70703950dd1,gmeow:examples/standpointclaim-dupe-belief-001,gmeow:unequivocal,claimModality,gmeow:examples/standpoint-dupe,2026-06-11T00:00:00Z,0.7,,,,,,
edge:e3f8b695dbb16cc3,gmeow:examples/standpointclaim-lie-projected-001,gmeow:unequivocal,claimModality,gmeow:examples/standpoint-deceiver,2026-06-01T00:00:00Z,0.9,,,,,,
edge:f3abfc215c90211b,gmeow:examples/standpointclaim-forgery-projected-001,gmeow:unequivocal,claimModality,gmeow:examples/standpoint-forger,2026-06-09T00:00:00Z,0.9,,,,,,
edge:fa5f9f3fbed0425b,gmeow:examples/standpointclaim-fabrication-held-001,gmeow:refuted,claimModality,gmeow:examples/standpoint-investigator,2026-06-08T00:00:00Z,0.75,,,,,,
