# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/events
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow compile-mappings
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: Universal-event alignments (#41) — gmeow:Event + the gmeow:Participation relator + the open gmeow:eventType / gmeow:ParticipantRole / gmeow:TemporalPrecision value vocabularies, supersetting schema.org Event, CIDOC-CRM E5/E7, OWL-Time, PROV-O, iCalendar, LODE, SEM, BIO / GEDCOM X (the life-event types) and Wikidata BY REFERENCE. VALUE VOCABULARIES: eventType / participationRole individuals are gufo:QualityValue values, aligned to external classes, fact-types and role-properties with skos:closeMatch (a value-to-class/property correspondence), mirroring placeType. An unforeseen type/role is a fresh individual, never a new class or subproperty (Principle 9 — no overtyping, no role-subproperty proliferation). REIFIED PARTICIPATION: gmeow:Participation is the NameUsage relator idiom; it carries role / period / confidence / provenance / standpoint that schema.org's flat attendee/performer/organizer and OWL-Time's participation-free interval algebra cannot. The flat gmeow:hasParticipant covers the 80% case and projects to the flat targets. CONTESTED FACTS: a disputed type, role, date or location is several coexisting gmeow:accordingTo-indexed claims (standpoint module, #43), never one slot to win; there is no preferredRank / primaryClaim. CANONICAL (no faithful external term): gmeow:temporalPrecision, gmeow:earliestStart / latestEnd fuzzy bounds (related only to CRM E52 P82a/P82b begin/end-of bounds), and gmeow:EventSeries recurrence (projected to iCalendar RRULE, not aligned here).
# curie_map:
#   bio: http://purl.org/vocab/bio/0.1/
#   crm: http://www.cidoc-crm.org/cidoc-crm/
#   gedcom: http://www.w3.org/2000/10/swap/pim/gedcom#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gx: http://gedcomx.org/
#   ical: http://www.w3.org/2002/12/cal/icaltzd#
#   lode: http://linkedevents.org/ontology/
#   prov: http://www.w3.org/ns/prov#
#   schema: https://schema.org/
#   sem: http://semanticweb.cs.vu.nl/2009/11/sem/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   time: http://www.w3.org/2006/time#
#   wd: http://www.wikidata.org/entity/
#   wdt: http://www.wikidata.org/prop/direct/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Event	skos:closeMatch	crm:E5_Event	semapv:ManualMappingCuration	0.9	CIDOC-CRM E5 Event — the time-span/place/event separation is adopted; the PC property-class verbosity is not
gmeow:Event	skos:closeMatch	lode:Event	semapv:ManualMappingCuration	0.85	LODE (Linking Open Descriptions of Events)
gmeow:Event	skos:closeMatch	schema:Event	semapv:ManualMappingCuration	0.9	schema:Event flattens participation to attendee/performer/organizer; GMEOW reifies it
gmeow:Event	skos:closeMatch	sem:Event	semapv:ManualMappingCuration	0.85	Simple Event Model (SEM)
gmeow:Event	skos:relatedMatch	ical:Vevent	semapv:ManualMappingCuration	0.5	iCalendar VEVENT is projection-grade (single time/place/agent); a lossy FnO target, not a peer model
gmeow:Event	skos:relatedMatch	prov:Activity	semapv:ManualMappingCuration	0.5	prov:Activity is provenance-shaped (used/generated), not a general occurrence; gmeow:Activity (the GMEOW provenance class) is the closeMatch, gmeow:Event the broader generalization
gmeow:Event	skos:relatedMatch	wd:Q1656682	semapv:ManualMappingCuration	0.6	Wikidata event (Q1656682)
gmeow:EventSeries	skos:closeMatch	schema:EventSeries	semapv:ManualMappingCuration	0.85	a recurrence that issues concrete occurrences
gmeow:ParticipantRole	skos:relatedMatch	sem:RoleType	semapv:ManualMappingCuration	0.55	the open role value vocabulary ≈ SEM role-type space
gmeow:Participation	skos:closeMatch	prov:Association	semapv:ManualMappingCuration	0.6	a reified role-in-an-event is a prov:Association (qualifiedAssociation); GMEOW adds period/confidence/standpoint
gmeow:Participation	skos:relatedMatch	sem:Role	semapv:ManualMappingCuration	0.5	SEM reifies a role-binding (sem:Role); GMEOW's Participation is the same idiom with full provenance
gmeow:earliestStart	skos:relatedMatch	crm:P82a_begin_of_the_begin	semapv:ManualMappingCuration	0.6	fuzzy lower bound ≈ CIDOC E52 begin-of-the-begin
gmeow:eventInterval	skos:relatedMatch	crm:P4_has_time-span	semapv:ManualMappingCuration	0.55	the crisp interval of an event ≈ CIDOC P4 has time-span (E52)
gmeow:eventInterval	skos:relatedMatch	time:hasTime	semapv:ManualMappingCuration	0.55	OWL-Time hasTime — grounds the interval; GMEOW keeps base datatypes DL-clean (xsd:dateTime)
