# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/wikidata
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow regenerate (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "GMEOW term to Wikidata Q-item alignments (concept-scheme layer; QIDs validated)."
# curie_map:
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   lang: https://blackcatinformatics.ca/lang/
#   math: https://blackcatinformatics.ca/math/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:Activity	skos:closeMatch	wd:Q1914636	activity	semapv:ManualMappingCuration	0.75	
gmeow:Agent	skos:closeMatch	wd:Q24229398	agent	semapv:ManualMappingCuration	0.7	Wikidata 'agent' is a very abstract philosophical concept; GMEOW Agent is the actor in provenance and trust assertions. Directional lossy projection.
gmeow:Article	skos:closeMatch	wd:Q191067	article	semapv:ManualMappingCuration	0.85	
gmeow:CalendarSystem	skos:closeMatch	wd:Q4036	calendar	semapv:ManualMappingCuration	0.85	
gmeow:Certification	skos:closeMatch	wd:Q747527	certification	semapv:ManualMappingCuration	0.8	
gmeow:Copyright	skos:closeMatch	wd:Q1297822	copyright	semapv:ManualMappingCuration	0.8	
gmeow:CreativeWork	skos:closeMatch	wd:Q17537576	creative work	semapv:ManualMappingCuration	0.8	
gmeow:Credential	skos:closeMatch	wd:Q5158833	credential	semapv:ManualMappingCuration	0.8	
gmeow:CryptographicKey	skos:closeMatch	wd:Q826762	key (cryptography)	semapv:ManualMappingCuration	0.85	
gmeow:Dataset	skos:closeMatch	wd:Q1172284	dataset	semapv:ManualMappingCuration	0.85	
gmeow:Document	skos:closeMatch	wd:Q49848	document	semapv:ManualMappingCuration	0.85	
gmeow:EmailAddress	skos:closeMatch	wd:Q29934200	email address	semapv:ManualMappingCuration	0.85	
gmeow:Family	skos:exactMatch	wd:Q8436	family	semapv:ManualMappingCuration	0.9	
gmeow:Group	skos:closeMatch	wd:Q874405	social group	semapv:ManualMappingCuration	0.75	Wikidata 'social group' is broader than GMEOW Group (which includes non-social collectives). Directional lossy projection.
gmeow:License	skos:closeMatch	wd:Q79719	license	semapv:ManualMappingCuration	0.8	
gmeow:LifeEvent	skos:closeMatch	wd:Q2400985	life event	semapv:ManualMappingCuration	0.8	
gmeow:Mailbox	skos:closeMatch	wd:Q1531418	mailbox	semapv:ManualMappingCuration	0.7	Wikidata 'mailbox' is primarily physical; GMEOW Mailbox covers both physical and electronic. Directional lossy projection.
gmeow:Mark	skos:closeMatch	wd:Q431289	brand	semapv:ManualMappingCuration	0.75	
gmeow:MediaObject	skos:closeMatch	wd:Q11734477	media file	semapv:ManualMappingCuration	0.75	Wikidata 'media file' is broader than GMEOW MediaObject (which includes non-file media); directional lossy projection
gmeow:Occupation	skos:closeMatch	wd:Q12737077	occupation	semapv:ManualMappingCuration	0.85	
gmeow:Organization	skos:exactMatch	wd:Q43229	organization	semapv:ManualMappingCuration	0.9	
gmeow:Person	skos:exactMatch	wd:Q5	human	semapv:ManualMappingCuration	0.95	
gmeow:Place	skos:exactMatch	wd:Q2221906	geographic location	semapv:ManualMappingCuration	0.9	
gmeow:RightsStatement	skos:relatedMatch	wd:Q3935748	Rights Expression Language	semapv:ManualMappingCuration	0.5	
gmeow:RightsStatement	skos:relatedMatch	wd:Q930582	MPEG-21	semapv:ManualMappingCuration	0.4	
gmeow:Skill	skos:closeMatch	wd:Q2242730	skill	semapv:ManualMappingCuration	0.8	
gmeow:SoftwareProject	skos:closeMatch	wd:Q7397	software	semapv:ManualMappingCuration	0.7	
gmeow:TelephoneNumber	skos:closeMatch	wd:Q214291	telephone number	semapv:ManualMappingCuration	0.85	
gmeow:Trademark	skos:closeMatch	wd:Q167270	trademark	semapv:ManualMappingCuration	0.8	
gmeow:WebPage	skos:closeMatch	wd:Q36774	web page	semapv:ManualMappingCuration	0.85	
gmeow:copyrightHolder	skos:relatedMatch	wd:P3931	copyright holder	semapv:ManualMappingCuration	0.85	
gmeow:copyrightStatus	skos:relatedMatch	wd:P6216	copyright status	semapv:ManualMappingCuration	0.8	
gmeow:copyrightStatusPublicDomain	skos:closeMatch	wd:Q19652	public domain	semapv:ManualMappingCuration	0.85	
gmeow:eventTypeAdoption	skos:closeMatch	wd:Q180398	adoption	semapv:ManualMappingCuration	0.85	
gmeow:eventTypeBirth	skos:exactMatch	wd:Q308229	childbirth	semapv:ManualMappingCuration	0.9	
gmeow:eventTypeDeath	skos:exactMatch	wd:Q4	death	semapv:ManualMappingCuration	0.95	
gmeow:eventTypeDivorce	skos:exactMatch	wd:Q93183	divorce	semapv:ManualMappingCuration	0.9	
gmeow:eventTypeGraduation	skos:closeMatch	wd:Q3918	graduation ceremony	semapv:ManualMappingCuration	0.8	Wikidata 'graduation ceremony' is narrower than GMEOW eventTypeGraduation (which covers any educational completion); directional lossy projection
gmeow:eventTypeMarriage	skos:exactMatch	wd:Q8445	marriage	semapv:ManualMappingCuration	0.9	
gmeow:hasLicense	skos:relatedMatch	wd:P275	copyright license	semapv:ManualMappingCuration	0.8	
gmeow:languageCode	skos:relatedMatch	wd:P424	Wikimedia language code	semapv:ManualMappingCuration	0.8	Wikidata P424 is the Wikimedia language code; GMEOW languageCode uses BCP-47. Related but not identical.
gmeow:licenseFamilyCC	skos:closeMatch	wd:Q284742	Creative Commons license	semapv:ManualMappingCuration	0.85	
gmeow:licenseFamilyCopyleft	skos:closeMatch	wd:Q1139274	copyleft license	semapv:ManualMappingCuration	0.8	
gmeow:licenseFamilyPermissive	skos:closeMatch	wd:Q1437937	permissive free software license	semapv:ManualMappingCuration	0.75	
gmeow:licenseFamilyProprietary	skos:closeMatch	wd:Q3238057	proprietary license	semapv:ManualMappingCuration	0.8	
gmeow:rightsTypeCopyright	skos:closeMatch	wd:Q1297822	copyright	semapv:ManualMappingCuration	0.8	
gmeow:rightsTypeDatabaseRight	skos:closeMatch	wd:Q688416	database right	semapv:ManualMappingCuration	0.8	
gmeow:rightsTypeIndustrialDesign	skos:closeMatch	wd:Q252799	industrial design right	semapv:ManualMappingCuration	0.8	
gmeow:rightsTypeMoralRights	skos:closeMatch	wd:Q1057599	moral rights	semapv:ManualMappingCuration	0.8	
gmeow:rightsTypePatent	skos:closeMatch	wd:Q253623	patent	semapv:ManualMappingCuration	0.8	
gmeow:rightsTypePlantBreedersRights	skos:closeMatch	wd:Q695112	plant breeders' rights	semapv:ManualMappingCuration	0.8	
gmeow:rightsTypeRelatedRights	skos:closeMatch	wd:Q489344	related rights	semapv:ManualMappingCuration	0.8	
gmeow:rightsTypeTradeSecret	skos:closeMatch	wd:Q602938	trade secret	semapv:ManualMappingCuration	0.8	
gmeow:rightsTypeTrademark	skos:closeMatch	wd:Q167270	trademark	semapv:ManualMappingCuration	0.8	
gmeow:trademarkMark	skos:relatedMatch	wd:P1716	brand	semapv:ManualMappingCuration	0.6	
lang:CommunicativeAct	skos:closeMatch	wd:Q25481968	speech act	semapv:ManualMappingCuration	0.9	lang:CommunicativeAct records what a use of a form does; wd:Q25481968 (speech act — an utterance that serves a performative function) is the same notion. A concept-scoped match, so skos:closeMatch.
lang:CommunicativeForce	skos:closeMatch	wd:Q1599204	illocutionary act	semapv:ManualMappingCuration	0.9	lang:CommunicativeForce is the illocutionary force of a communicative act; wd:Q1599204 (illocutionary act, coined by J. L. Austin) is the same category. A concept-scoped match, so skos:closeMatch.
lang:CompositionRule	skos:closeMatch	wd:Q936559	principle of compositionality	semapv:ManualMappingCuration	0.9	lang:CompositionRule is a rule of the compositional program building a composed denotation from its constituents; wd:Q936559 (principle of compositionality) is the principle it realizes. A concept-scoped match, so skos:closeMatch.
lang:CompositionRule	skos:relatedMatch	wd:Q3272938	Montague grammar	semapv:ManualMappingCuration	0.9	The Montagovian program (wd:Q3272938, Montague grammar) is the compositional-semantics framework lang:CompositionRule draws its fragment from. A related framework rather than identity, so skos:relatedMatch.
lang:Denotation	skos:closeMatch	wd:Q1189753	denotation	semapv:ManualMappingCuration	0.9	lang:Denotation is the reified record of what a form means; wd:Q1189753 (denotation — the literal meaning of a sign) is the semiotic notion GMEOW reifies. A concept-scoped match, so skos:closeMatch.
